county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,802,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,680,642,0,1322,DEM,38,2.87,2.87,2.95,Tier 4: Opportunity (2.0-5.0%),0.4451178451178451
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,1081,1020,0,2101,DEM,61,2.9,2.9,2.95,Tier 4: Opportunity (2.0-5.0%),0.7003333333333333
FORSYTH,809,NC COMMISSIONER OF INSURANCE,2020-11-03,1183,1116,0,2299,DEM,67,2.91,2.91,2.96,Tier 4: Opportunity (2.0-5.0%),0.7637873754152823
FORSYTH,701,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,573,540,0,1113,DEM,33,2.96,2.96,3.05,Tier 4: Opportunity (2.0-5.0%),0.3637254901960784
FORSYTH,74,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 04,2020-11-03,1451,1367,0,2818,DEM,84,2.98,2.98,3.01,Tier 4: Opportunity (2.0-5.0%),0.9149350649350649
FORSYTH,807,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2022-11-08,633,596,0,1229,DEM,37,3.01,3.01,3.09,Tier 4: Opportunity (2.0-5.0%),0.3951768488745981
FORSYTH,132,NC LIEUTENANT GOVERNOR,2024-11-05,1921,1808,0,3729,DEM,113,3.03,3.03,3.06,Tier 4: Opportunity (2.0-5.0%),1.1913738019169329
FORSYTH,33,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,594,559,0,1153,DEM,35,3.04,3.04,3.12,Tier 4: Opportunity (2.0-5.0%),0.36719745222929934
FORSYTH,807,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03,2022-11-08,637,599,0,1236,DEM,38,3.07,3.07,3.15,Tier 4: Opportunity (2.0-5.0%),0.3899053627760252
FORSYTH,908,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2020-11-03,1223,1148,0,2371,DEM,75,3.16,3.16,3.2,Tier 4: Opportunity (2.0-5.0%),0.7273006134969325
