county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed
FORSYTH,131,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1497,1538,0,3035,REP,41,1.35,-1.35,1.38
FORSYTH,51,NC ATTORNEY GENERAL,2024-11-05,1246,1280,0,2526,REP,34,1.35,-1.35,1.38
FORSYTH,131,NC STATE SENATE DISTRICT 32,2022-11-08,1049,1078,0,2127,REP,29,1.36,-1.36,1.41
FORSYTH,809,NC DISTRICT COURT JUDGE DISTRICT 21 SEAT 08,2020-11-03,1150,1119,0,2269,DEM,31,1.37,1.37,1.41
FORSYTH,802,NC COMMISSIONER OF LABOR,2020-11-03,664,646,0,1310,DEM,18,1.37,1.37,1.45
FORSYTH,132,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1922,1869,0,3791,DEM,53,1.4,1.4,1.42
FORSYTH,804,NC COMMISSIONER OF AGRICULTURE,2024-11-05,534,519,0,1053,DEM,15,1.42,1.42,1.52
FORSYTH,14,NC GOVERNOR,2024-11-05,887,862,0,1749,DEM,25,1.43,1.43,1.48
FORSYTH,131,FORSYTH COUNTY BOARD OF EDUCATION AT-LARGE,2022-11-08,2900,2984,0,5884,REP,84,1.43,-1.43,1.44
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,792,815,0,1607,REP,23,1.43,-1.43,1.49
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,646,665,0,1311,REP,19,1.45,-1.45,1.52
FORSYTH,135,NC LIEUTENANT GOVERNOR,2024-11-05,1363,1404,0,2767,REP,41,1.48,-1.48,1.52
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1154,1189,0,2343,REP,35,1.49,-1.49,1.54
FORSYTH,806,US HOUSE OF REPRESENTATIVES DISTRICT 05,2022-11-08,613,595,0,1208,DEM,18,1.49,1.49,1.57
FORSYTH,806,NC LIEUTENANT GOVERNOR,2020-11-03,808,784,0,1592,DEM,24,1.51,1.51,1.57
FORSYTH,34,NC GOVERNOR,2024-11-05,872,846,0,1718,DEM,26,1.51,1.51,1.57
FORSYTH,701,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,1580,1629,0,3209,REP,49,1.53,-1.53,1.56
FORSYTH,77,US PRESIDENT,2024-11-05,1140,1176,0,2316,REP,36,1.55,-1.55,1.6
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,603,622,0,1225,REP,19,1.55,-1.55,1.63
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,618,599,0,1217,DEM,19,1.56,1.56,1.64
FORSYTH,131,US PRESIDENT,2024-11-05,1514,1562,0,3076,REP,48,1.56,-1.56,1.59
FORSYTH,802,NC COMMISSIONER OF AGRICULTURE,2024-11-05,690,712,0,1402,REP,22,1.57,-1.57,1.64
FORSYTH,806,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,799,774,0,1573,DEM,25,1.59,1.59,1.65
FORSYTH,908,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 04,2020-11-03,1197,1159,0,2356,DEM,38,1.61,1.61,1.65
FORSYTH,909,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,396,409,0,805,REP,13,1.61,-1.61,1.73
FORSYTH,805,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1039,1006,0,2045,DEM,33,1.61,1.61,1.66
FORSYTH,52,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,503,487,0,990,DEM,16,1.62,1.62,1.71
FORSYTH,123,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,3113,3216,0,6329,REP,103,1.63,-1.63,1.64
FORSYTH,807,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,741,717,0,1458,DEM,24,1.65,1.65,1.71
FORSYTH,74,US HOUSE OF REPRESENTATIVES DISTRICT 10,2020-11-03,1429,1382,0,2811,DEM,47,1.67,1.67,1.71
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,666,644,0,1310,DEM,22,1.68,1.68,1.75
FORSYTH,805,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1041,1006,0,2047,DEM,35,1.71,1.71,1.76
FORSYTH,805,NC TREASURER,2020-11-03,1033,998,0,2031,DEM,35,1.72,1.72,1.77
FORSYTH,806,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,761,735,0,1496,DEM,26,1.74,1.74,1.8
FORSYTH,131,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2022-11-08,1049,1087,0,2136,REP,38,1.78,-1.78,1.82
FORSYTH,803,NC COURT OF APPEALS JUDGE SEAT 11,2022-11-08,580,601,0,1181,REP,21,1.78,-1.78,1.86
